名稱,分類,地址,X,Y,
學甲派出所,警察派出所,726臺南市學甲區華宗路294號,166381.171,2569999.25,
中浯派出所,警察派出所,726臺南市學甲區中洲里中洲287號,163674.599,2571634.687,
宅港派出所,警察派出所,726臺南市學甲區宅港里宅子港52號,160892.977,2571285.051,
頂洲派出所,警察派出所,726臺南市學甲區三慶里頂洲110之1號,168345.744,2576354.007,
學甲郵局,郵政分局,726臺南市學甲區中正路318號,166177.769,2570544.1,
臺南市學甲區東陽國民小學附設幼兒園,幼兒園,726臺南市學甲區華宗路260號,166436.489,2569791.069,
臺南市立學甲幼兒園,幼兒園,726臺南市學甲區下溪洲1-11號,165455.45,2570810.39,
臺南市學甲區學甲國民小學附設幼兒園,幼兒園,726臺南市學甲區一秀30號,165519.799,2570885.529,
臺南市私立諾貝爾幼兒園,幼兒園,726台南市學甲區中華路三段,166876.899,2570409.79,
臺南市私立法源幼兒園,幼兒園,726台南市學甲區法源路27號,166460.69,2570628.439,
臺南市慈母非營利幼兒園(財團法人臺南市私立天主教伯利恆社會福利基金會申請辦理),幼兒園,726台南市學甲區華宗路517號,166346.14,2570694.23,
台南市學甲區第五社區發展協會,民眾活動中心,台南市學甲區中洲里313-2號,163751.41,2571655.689,
臺南市學甲區宜民社區發展協會,民眾活動中心,臺南市學甲區信義路72號,165929.32,2570587.33,
台南市學甲區平西社區發展協會,民眾活動中心,726台南市學甲區南70鄉道20號,169729.51,2573287.08,
台南市學甲區百福社區發展協會,民眾活動中心,台南市學甲區百福里太平路13號,166561.69,2570369.27,
台南市學甲區新芳社區發展協會,民眾活動中心,台南市學甲區三慶里29鄰新芳54-2號,167310.239,2575133.22,
臺南市學甲區紅茄萣社區發展協會,民眾活動中心,臺南市學甲區三慶里紅茄105號,167442.88,2575612.319,
台南市學甲區仁得社區發展協會,民眾活動中心,台南市學甲區仁得里自強路19號,166281.79,2569820.379,
台南市學甲區達明社區發展協會,民眾活動中心,台南市學甲區新達里山寮26號,167841.54,2570533.91,
台南市學甲區新生社區發展協會,民眾活動中心,台南市學甲區新興路21號,166728.42,2570572.23,
台南市學甲區美豐社區發展協會,民眾活動中心,台南市學甲區豐和里10鄰美豐82-5號,168028.78,2568529.77,
台南市學甲區平東社區發展協會,民眾活動中心,台南市學甲區平和里7鄰學甲寮62之2號,169721.64,2573327.58,
台南市學甲區頂洲社區發展協會,民眾活動中心,台南市學甲區三慶里頂洲104號,168380.269,2576273.75,
台南市學甲區西明社區發展協會,民眾活動中心,台南市學甲區信義路54號,165894.989,2570430.52,
台南市學甲區大灣社區發展協會,民眾活動中心,台南市學甲區大灣里101號,166779.109,2567790.859,
台南市學甲區光華社區發展協會,民眾活動中心,台南市學甲區光華里8鄰過港子65號,164682.1,2571486.2,
台南市學甲區一秀社區發展協會,民眾活動中心,台南市學甲區一秀里6鄰一秀63號,165770.22,2570932.7,
台南市學甲區新榮社區發展協會,民眾活動中心,台南市學甲區新榮里東寮63號,166647.109,2569531.04,
